profile_season,baseline_type,baseline_start_season,baseline_end_season,team,situation_order,situation_name,field_zone_order,field_zone,situation_field_zone_context,team_play_count,baseline_play_count,season_count,team_count,team_season_count,team_sample_quality,baseline_quality,sample_vs_baseline_context,meets_min_sample_50,meets_min_sample_20,dropback_rate_team,dropback_rate_baseline,dropback_rate_delta,rush_rate_team,rush_rate_baseline,rush_rate_delta,pass_attempt_rate_team,pass_attempt_rate_baseline,pass_attempt_rate_delta,shotgun_rate_team,shotgun_rate_baseline,shotgun_rate_delta,no_huddle_rate_team,no_huddle_rate_baseline,no_huddle_rate_delta,avg_yards_gained_team,avg_yards_gained_baseline,avg_yards_gained_delta,avg_epa_team,avg_epa_baseline,avg_epa_delta,success_rate_team,success_rate_baseline,success_rate_delta,first_down_rate_team,first_down_rate_baseline,first_down_rate_delta,touchdown_rate_team,touchdown_rate_baseline,touchdown_rate_delta,turnover_rate_team,turnover_rate_baseline,turnover_rate_delta,sack_rate_team,sack_rate_baseline,sack_rate_delta,explosive_play_rate_team,explosive_play_rate_baseline,explosive_play_rate_delta,explosive_dropback_rate_team,explosive_dropback_rate_baseline,explosive_dropback_rate_delta,explosive_run_rate_team,explosive_run_rate_baseline,explosive_run_rate_delta
2025,league_multi_season,2023,2025,ARI,1,all_offense,1,backed_up,all_offense | backed_up,83,7747,3,32,96,good,strong,good_team_sample_vs_strong_baseline,1,1,0.6386,0.5653,0.07329999999999992,0.3614,0.4347,-0.07329999999999998,0.6386,0.5653,0.07329999999999992,0.6867,0.6902,-0.0035000000000000586,0.0482,0.0541,-0.0059000000000000025,5.5904,6.016,-0.4256000000000002,-0.0714,-0.0254,-0.046000000000000006,0.3614,0.3983,-0.03689999999999999,0.1687,0.2316,-0.06290000000000001,0.0,0.0053,-0.0053,0.012,0.0258,-0.0138,0.012,0.032,-0.02,0.0964,0.1407,-0.04429999999999999,0.0482,0.0901,-0.0419,0.0482,0.0506,-0.0023999999999999994
2025,league_multi_season,2023,2025,ARI,1,all_offense,2,own_territory,all_offense | own_territory,470,45668,3,32,96,strong,strong,strong_team_sample_vs_strong_baseline,1,1,0.6766,0.602,0.0746,0.3234,0.398,-0.0746,0.6766,0.602,0.0746,0.6787,0.7042,-0.025500000000000078,0.0872,0.0973,-0.010099999999999998,5.5149,6.0183,-0.5034000000000001,-0.0295,-0.0121,-0.0174,0.4298,0.4335,-0.003699999999999981,0.2915,0.2915,0.0,0.0043,0.0059,-0.0015999999999999999,0.0191,0.0286,-0.009500000000000001,0.0681,0.0451,0.022999999999999993,0.1532,0.151,0.0022000000000000075,0.1128,0.0993,0.013499999999999998,0.0404,0.0517,-0.011300000000000004
2025,league_multi_season,2023,2025,ARI,1,all_offense,3,fringe,all_offense | fringe,352,31340,3,32,96,strong,strong,strong_team_sample_vs_strong_baseline,1,1,0.6307,0.5689,0.06180000000000008,0.3693,0.4311,-0.061799999999999966,0.6307,0.5689,0.06180000000000008,0.7358,0.7056,0.030200000000000005,0.1818,0.1304,0.0514,5.5852,5.6104,-0.02519999999999989,0.0434,0.0079,0.035500000000000004,0.4688,0.451,0.017799999999999983,0.3182,0.3014,0.01679999999999998,0.0114,0.0231,-0.011699999999999999,0.017,0.0269,-0.009899999999999999,0.0455,0.0384,0.007100000000000002,0.1307,0.144,-0.013299999999999979,0.1023,0.0889,0.013399999999999995,0.0284,0.0552,-0.026799999999999997
2025,league_multi_season,2023,2025,ARI,1,all_offense,4,red_zone,all_offense | red_zone,165,15231,3,32,96,strong,strong,strong_team_sample_vs_strong_baseline,1,1,0.6909,0.5029,0.18799999999999994,0.3091,0.4971,-0.188,0.6909,0.5029,0.18799999999999994,0.8,0.6589,0.1411,0.1273,0.0945,0.032799999999999996,3.1455,3.0,0.14550000000000018,-0.0824,-0.0022,-0.08020000000000001,0.3879,0.4224,-0.034499999999999975,0.303,0.313,-0.010000000000000009,0.2061,0.1961,0.010000000000000009,0.0303,0.0258,0.0045000000000000005,0.0606,0.0328,0.0278,0.0727,0.0512,0.0215,0.0606,0.0238,0.0368,0.0121,0.0274,-0.015300000000000001
2025,league_multi_season,2023,2025,ARI,2,early_down,1,backed_up,early_down | backed_up,61,6165,3,32,96,good,strong,good_team_sample_vs_strong_baseline,1,1,0.5738,0.5084,0.06540000000000001,0.4262,0.4916,-0.06539999999999996,0.5738,0.5084,0.06540000000000001,0.5902,0.6247,-0.034500000000000086,0.0164,0.0482,-0.031799999999999995,5.4098,5.9092,-0.4994000000000005,-0.0225,-0.0218,-0.0006999999999999992,0.3607,0.4052,-0.044499999999999984,0.1148,0.2107,-0.0959,0.0,0.0047,-0.0047,0.0164,0.0229,-0.006499999999999999,0.0,0.0206,-0.0206,0.082,0.1328,-0.0508,0.0328,0.0796,-0.0468,0.0492,0.0532,-0.003999999999999997
2025,league_multi_season,2023,2025,ARI,2,early_down,2,own_territory,early_down | own_territory,364,35902,3,32,96,strong,strong,strong_team_sample_vs_strong_baseline,1,1,0.6621,0.5535,0.10860000000000003,0.3379,0.4465,-0.10860000000000003,0.6621,0.5535,0.10860000000000003,0.6291,0.6505,-0.021399999999999975,0.0907,0.0983,-0.007599999999999996,5.3104,6.0489,-0.7385000000000002,-0.0083,0.0008,-0.0091,0.4286,0.4374,-0.00880000000000003,0.2555,0.259,-0.003500000000000003,0.0027,0.0055,-0.0027999999999999995,0.011,0.0255,-0.014499999999999999,0.0549,0.0325,0.022399999999999996,0.1346,0.1476,-0.013000000000000012,0.0962,0.0914,0.004799999999999999,0.0385,0.0562,-0.0177
2025,league_multi_season,2023,2025,ARI,2,early_down,3,fringe,early_down | fringe,275,23553,3,32,96,strong,strong,strong_team_sample_vs_strong_baseline,1,1,0.5891,0.5239,0.06519999999999992,0.4109,0.4761,-0.06520000000000004,0.5891,0.5239,0.06519999999999992,0.6873,0.6547,0.03260000000000007,0.2073,0.1415,0.06580000000000003,5.4182,5.6229,-0.20469999999999988,-0.0191,0.0111,-0.030199999999999998,0.4545,0.4441,0.01040000000000002,0.2655,0.2568,0.008700000000000041,0.0073,0.0214,-0.014099999999999998,0.0182,0.0244,-0.006200000000000001,0.0473,0.031,0.016300000000000002,0.12,0.1427,-0.022699999999999998,0.0909,0.0819,0.008999999999999994,0.0291,0.0608,-0.0317
2025,league_multi_season,2023,2025,ARI,2,early_down,4,red_zone,early_down | red_zone,118,11157,3,32,96,strong,strong,strong_team_sample_vs_strong_baseline,1,1,0.6695,0.4417,0.2278,0.3305,0.5583,-0.2278,0.6695,0.4417,0.2278,0.7881,0.6087,0.1794,0.1525,0.106,0.0465,3.4322,3.1212,0.31099999999999994,0.094,-0.004,0.098,0.3898,0.4167,-0.026900000000000035,0.2797,0.2722,0.007500000000000007,0.2119,0.1844,0.027499999999999997,0.0169,0.022,-0.0051,0.0339,0.0223,0.0116,0.0678,0.053,0.0148,0.0593,0.0212,0.038099999999999995,0.0085,0.0317,-0.0232
2025,league_multi_season,2023,2025,ARI,3,third_down,1,backed_up,third_down | backed_up,21,1543,3,32,96,thin,good,thin_team_sample_vs_good_baseline,0,1,0.8095,0.7874,0.02210000000000001,0.1905,0.2126,-0.02210000000000001,0.8095,0.7874,0.02210000000000001,0.9524,0.9501,0.0023000000000000798,0.1429,0.0752,0.0677,6.381,6.4887,-0.10769999999999946,-0.0424,-0.0257,-0.0167,0.381,0.3688,0.012199999999999989,0.3333,0.3098,0.023499999999999965,0.0,0.0078,-0.0078,0.0,0.0363,-0.0363,0.0476,0.0771,-0.0295,0.1429,0.1724,-0.0295,0.0952,0.1322,-0.037000000000000005,0.0476,0.0402,0.007400000000000004
2025,league_multi_season,2023,2025,ARI,3,third_down,2,own_territory,third_down | own_territory,96,9116,3,32,96,good,strong,good_team_sample_vs_strong_baseline,1,1,0.7604,0.7933,-0.03290000000000004,0.2396,0.2067,0.03290000000000001,0.7604,0.7933,-0.03290000000000004,0.8958,0.9201,-0.02429999999999999,0.0729,0.0912,-0.018299999999999997,6.1354,6.0098,0.1255999999999995,-0.21,-0.0711,-0.1389,0.4063,0.4111,-0.0048000000000000265,0.3854,0.403,-0.017600000000000005,0.0104,0.0079,0.0024999999999999988,0.0521,0.0383,0.0138,0.125,0.0936,0.0314,0.2188,0.1663,0.05249999999999999,0.1667,0.1317,0.034999999999999976,0.0521,0.0346,0.0175
