profile_season,team,situation_order,situation_name,baseline_type,baseline_start_season,baseline_end_season,season_count,team_count,team_season_count,baseline_quality,team_play_count,team_sample_quality,sample_vs_baseline_context,team_meets_min_sample_50,team_meets_min_sample_20,meets_strong_team_sample,meets_usable_team_sample,dropback_rate_team,dropback_rate_baseline,dropback_rate_delta,dropback_rate_pct_delta,rush_rate_team,rush_rate_baseline,rush_rate_delta,rush_rate_pct_delta,pass_attempt_rate_team,pass_attempt_rate_baseline,pass_attempt_rate_delta,pass_attempt_rate_pct_delta,shotgun_rate_team,shotgun_rate_baseline,shotgun_rate_delta,shotgun_rate_pct_delta,no_huddle_rate_team,no_huddle_rate_baseline,no_huddle_rate_delta,no_huddle_rate_pct_delta,success_rate_team,success_rate_baseline,success_rate_delta,success_rate_pct_delta,first_down_rate_team,first_down_rate_baseline,first_down_rate_delta,first_down_rate_pct_delta,touchdown_rate_team,touchdown_rate_baseline,touchdown_rate_delta,touchdown_rate_pct_delta,turnover_rate_team,turnover_rate_baseline,turnover_rate_delta,turnover_rate_pct_delta,sack_rate_team,sack_rate_baseline,sack_rate_delta,sack_rate_pct_delta,explosive_play_rate_team,explosive_play_rate_baseline,explosive_play_rate_delta,explosive_play_rate_pct_delta,explosive_dropback_rate_team,explosive_dropback_rate_baseline,explosive_dropback_rate_delta,explosive_dropback_rate_pct_delta,explosive_run_rate_team,explosive_run_rate_baseline,explosive_run_rate_delta,explosive_run_rate_pct_delta,avg_yards_gained_team,avg_yards_gained_baseline,avg_yards_gained_delta,avg_yards_gained_pct_delta,avg_epa_team,avg_epa_baseline,avg_epa_delta,avg_epa_pct_delta,is_more_dropback_heavy,is_more_run_heavy,is_more_shotgun_heavy,is_more_no_huddle_heavy,is_more_efficient_epa,is_more_successful,is_more_explosive
2025,ARI,1,all_offense,league_multi_season,2023,2025,3,32,96,strong,1070,strong,stable_team_sample,1,1,1,1,0.6607,0.5737,0.08699999999999997,0.1516472023705769,0.3393,0.4263,-0.08700000000000002,-0.20408163265306126,0.6607,0.5737,0.08699999999999997,0.1516472023705769,0.7168,0.6967,0.020100000000000007,0.02885029424429454,0.1215,0.1039,0.01759999999999999,0.16939364773820972,0.4308,0.4345,-0.003699999999999981,-0.008515535097813534,0.2925,0.2932,-0.0007000000000000339,-0.0023874488403821076,0.0374,0.0402,-0.002799999999999997,-0.06965174129353226,0.0196,0.0274,-0.007800000000000001,-0.28467153284671537,0.0551,0.0401,0.015000000000000006,0.3740648379052371,0.129,0.1328,-0.003799999999999998,-0.028614457831325286,0.0963,0.0838,0.012499999999999997,0.1491646778042959,0.0327,0.049,-0.016300000000000002,-0.33265306122448984,5.1785,5.4305,-0.25200000000000067,-0.04640456679863745,-0.0169,-0.0054,-0.011499999999999998,-2.1296296296296293,1,0,1,1,0,0,0
2025,ARI,2,early_down,league_multi_season,2023,2025,3,32,96,strong,818,strong,stable_team_sample,1,1,1,1,0.632,0.5246,0.10740000000000005,0.2047274113610371,0.368,0.4754,-0.1074,-0.22591501893142615,0.632,0.5246,0.10740000000000005,0.2047274113610371,0.6687,0.6436,0.02510000000000001,0.038999378495960246,0.1333,0.1086,0.0247,0.2274401473296501,0.4267,0.4339,-0.007199999999999984,-0.016593685180917226,0.2518,0.2564,-0.004599999999999993,-0.01794071762870512,0.0342,0.0363,-0.0020999999999999977,-0.05785123966942143,0.0147,0.0244,-0.009700000000000002,-0.39754098360655743,0.0452,0.0296,0.015599999999999996,0.5270270270270269,0.1161,0.1311,-0.015,-0.11441647597254005,0.0844,0.0774,0.007000000000000006,0.0904392764857882,0.0318,0.0538,-0.022,-0.40892193308550184,5.0831,5.4816,-0.3985000000000003,-0.07269775248102749,0.0018,0.0014,0.00039999999999999996,0.2857142857142857,1,0,1,1,1,0,0
2025,ARI,3,third_down,league_multi_season,2023,2025,3,32,96,strong,224,strong,stable_team_sample,1,1,1,1,0.7545,0.7494,0.005099999999999993,0.006805444355484379,0.2455,0.2506,-0.005099999999999993,-0.02035115722266558,0.7545,0.7494,0.005099999999999993,0.006805444355484379,0.8884,0.8953,-0.006900000000000017,-0.00770691388361445,0.0893,0.0875,0.00180000000000001,0.020571428571428685,0.4464,0.4242,0.022199999999999998,0.05233380480905232,0.4241,0.3997,0.024399999999999977,0.06104578433825363,0.0446,0.0487,-0.0040999999999999995,-0.0841889117043121,0.0402,0.0359,0.004299999999999998,0.11977715877437321,0.0893,0.0778,0.01150000000000001,0.1478149100257071,0.1696,0.1404,0.029200000000000004,0.207977207977208,0.1295,0.107,0.022500000000000006,0.21028037383177575,0.0402,0.0333,0.006899999999999996,0.2072072072072071,5.5938,5.3482,0.2455999999999996,0.04592199244605654,-0.0652,-0.0507,-0.014499999999999992,-0.2859960552268243,1,0,0,1,0,1,1
2025,ARI,4,fourth_down,league_multi_season,2023,2025,3,32,96,good,28,thin,small_team_sample,0,1,0,0,0.75,0.6225,0.12749999999999995,0.20481927710843364,0.25,0.3775,-0.1275,-0.33774834437086093,0.75,0.6225,0.12749999999999995,0.20481927710843364,0.75,0.675,0.07499999999999996,0.11111111111111104,0.0357,0.0943,-0.05859999999999999,-0.6214209968186638,0.4286,0.5443,-0.11570000000000003,-0.21256659930185565,0.4286,0.5475,-0.1189,-0.21716894977168952,0.0714,0.0926,-0.021199999999999997,-0.22894168466522674,0.0,0.0492,-0.0492,-1.0,0.0714,0.0504,0.021000000000000005,0.41666666666666674,0.1786,0.1209,0.057700000000000015,0.47725392886683227,0.1786,0.0893,0.0893,1.0,0.0,0.0316,-0.0316,-1.0,4.6429,4.5242,0.11869999999999958,0.02623668272843808,-0.1766,0.1649,-0.3415,-2.070952092177077,1,0,1,0,0,0,1
2025,ARI,5,short_yardage,league_multi_season,2023,2025,3,32,96,strong,93,good,usable_team_sample,1,1,0,1,0.3118,0.3476,-0.0358,-0.10299194476409665,0.6882,0.6524,0.035800000000000054,0.054874310239117194,0.3118,0.3476,-0.0358,-0.10299194476409665,0.4839,0.5322,-0.04830000000000001,-0.09075535512965052,0.1828,0.1642,0.018599999999999978,0.11327649208282568,0.5591,0.5961,-0.03699999999999992,-0.06207012246267392,0.6559,0.6404,0.01550000000000007,0.02420362273579024,0.1075,0.1155,-0.008000000000000007,-0.06926406926406932,0.0108,0.0214,-0.010599999999999998,-0.49532710280373826,0.0215,0.0229,-0.001400000000000002,-0.06113537117903939,0.043,0.0906,-0.0476,-0.5253863134657837,0.0108,0.0453,-0.0345,-0.76158940397351,0.0323,0.0453,-0.012999999999999998,-0.28697571743929357,3.7204,3.8797,-0.1593,-0.041059875763589965,-0.0485,0.0647,-0.1132,-1.7496136012364762,0,1,0,1,0,0,0
2025,ARI,6,red_zone,league_multi_season,2023,2025,3,32,96,strong,165,strong,stable_team_sample,1,1,1,1,0.6909,0.5029,0.18799999999999994,0.37383177570093445,0.3091,0.4971,-0.188,-0.3781935224300946,0.6909,0.5029,0.18799999999999994,0.37383177570093445,0.8,0.6589,0.1411,0.21414478676582183,0.1273,0.0945,0.032799999999999996,0.34708994708994706,0.3879,0.4224,-0.034499999999999975,-0.08167613636363631,0.303,0.313,-0.010000000000000009,-0.03194888178913741,0.2061,0.1961,0.010000000000000009,0.050994390617032176,0.0303,0.0258,0.0045000000000000005,0.17441860465116282,0.0606,0.0328,0.0278,0.847560975609756,0.0727,0.0512,0.0215,0.41992187499999994,0.0606,0.0238,0.0368,1.5462184873949578,0.0121,0.0274,-0.015300000000000001,-0.5583941605839416,3.1455,3.0,0.14550000000000018,0.048500000000000064,-0.0824,-0.0022,-0.08020000000000001,-36.45454545454545,1,0,1,1,0,0,1
2025,ARI,7,goal_to_go,league_multi_season,2023,2025,3,32,96,strong,63,good,usable_team_sample,1,1,0,1,0.5873,0.4757,0.11160000000000003,0.23460163968887962,0.4127,0.5243,-0.11159999999999998,-0.21285523555216476,0.5873,0.4757,0.11160000000000003,0.23460163968887962,0.619,0.611,0.008000000000000007,0.013093289689034383,0.0794,0.0861,-0.006699999999999998,-0.07781649245063876,0.4127,0.438,-0.02529999999999999,-0.057762557077625544,0.3016,0.3303,-0.028700000000000003,-0.08689070541931579,0.3016,0.3289,-0.027300000000000046,-0.08300395256917009,0.0159,0.0243,-0.008399999999999998,-0.34567901234567894,0.0476,0.0306,0.017000000000000005,0.5555555555555557,0.0159,0.0074,0.0085,1.1486486486486487,0.0159,0.0033,0.0126,3.8181818181818183,0.0,0.0041,-0.0041,-1.0,1.7619,1.8044,-0.04249999999999998,-0.023553535801374408,-0.0632,0.0097,-0.0729,-7.515463917525774,1,0,1,0,0,0,1
2025,ARI,8,two_minute_half,league_multi_season,2023,2025,3,32,96,strong,128,strong,stable_team_sample,1,1,1,1,0.8203,0.7349,0.08540000000000003,0.11620628656960134,0.1797,0.2651,-0.0854,-0.32214258770275367,0.8203,0.7349,0.08540000000000003,0.11620628656960134,0.9297,0.8778,0.051899999999999946,0.05912508544087485,0.1719,0.1634,0.008500000000000008,0.0520195838433293,0.4297,0.4231,0.00660000000000005,0.015599149137319902,0.3203,0.3007,0.01959999999999995,0.06518124376454922,0.0469,0.0467,0.0001999999999999988,0.004282655246252651,0.0234,0.0356,-0.012199999999999999,-0.3426966292134831,0.0703,0.0516,0.0187,0.36240310077519383,0.1719,0.1271,0.044800000000000006,0.3524783634933124,0.1406,0.094,0.0466,0.4957446808510639,0.0313,0.0331,-0.001799999999999996,-0.05438066465256786,5.4375,5.26,0.1775000000000002,0.03374524714828901,0.0289,0.0083,0.0206,2.4819277108433737,1,0,1,1,1,1,1
2025,ARI,9,two_minute_game,league_multi_season,2023,2025,3,32,96,strong,40,thin,small_team_sample,0,1,0,0,0.925,0.6818,0.24320000000000008,0.35670284540921104,0.075,0.3182,-0.24319999999999997,-0.764299182903834,0.925,0.6818,0.24320000000000008,0.35670284540921104,1.0,0.8173,0.18269999999999997,0.22354092744402296,0.225,0.1726,0.0524,0.30359212050984935,0.375,0.3942,-0.019199999999999995,-0.048706240487062395,0.275,0.2947,-0.019699999999999995,-0.06684764166949438,0.05,0.045,0.0050000000000000044,0.11111111111111122,0.025,0.0394,-0.014399999999999996,-0.365482233502538,0.1,0.0504,0.049600000000000005,0.9841269841269842,0.2,0.1268,0.07320000000000002,0.577287066246057,0.2,0.0914,0.10860000000000002,1.1881838074398252,0.0,0.0354,-0.0354,-1.0,5.45,5.037,0.41300000000000026,0.08199324995036733,-0.1742,-0.06,-0.1142,-1.9033333333333333,1,0,1,1,0,0,1
2025,ARI,10,one_score,league_multi_season,2023,2025,3,32,96,strong,594,strong,stable_team_sample,1,1,1,1,0.6347,0.565,0.0697000000000001,0.12336283185840725,0.3653,0.435,-0.06969999999999998,-0.16022988505747124,0.6347,0.565,0.0697000000000001,0.12336283185840725,0.6498,0.6859,-0.03609999999999991,-0.05263157894736829,0.0556,0.0863,-0.030700000000000005,-0.3557358053302434,0.4259,0.4369,-0.01100000000000001,-0.025177386129549117,0.2896,0.2938,-0.0041999999999999815,-0.014295439074200073,0.032,0.0397,-0.0076999999999999985,-0.19395465994962213,0.0202,0.0265,-0.0063,-0.23773584905660378,0.0556,0.0381,0.017499999999999995,0.4593175853018371,0.1229,0.1332,-0.010300000000000017,-0.07732732732732744,0.0909,0.084,0.0068999999999999895,0.08214285714285702,0.032,0.0492,-0.0172,-0.34959349593495936,4.9832,5.4822,-0.49899999999999967,-0.09102185254095066,-0.0229,0.0035,-0.0264,-7.542857142857143,1,0,0,0,0,0,0
